source_path,destination_path,bytes,sha256,disposition
CURRENT_PHASE_STATUS.json,current/phase_03/CURRENT_PHASE_STATUS.json,750,4a5b6a45bc83921c012c7cef22468f9f88d050b74958fe639f8a0ccbcb65a79e,COPIED_BYTE_IDENTICAL
README.md,docs/phase_03/SOURCE_PHASE03_RELEASE_README.md,1176,d094d49c50c2e19c6605fda71fede24cc74a6615d8ac903dd771a9087ab75031,COPIED_BYTE_IDENTICAL
artifacts/evidence_map_handoff/phase_03/evidence_map_handoff.yaml,artifacts/evidence_map_handoff/phase_03/evidence_map_handoff.yaml,23221,a5e0adf43f3cfeff8f275eb5a5d582f6e378957c25ab8d743893a0b455a00e90,COPIED_BYTE_IDENTICAL
artifacts/handoffs/phase_03_to_phase_04/artifact_index.csv,artifacts/handoffs/phase_03_to_phase_04/artifact_index.csv,12151,a8a7caa15722a0eabecda8339967d74e55ddf322c04c129dba8673fcfec0f7c1,COPIED_BYTE_IDENTICAL
artifacts/handoffs/phase_03_to_phase_04/checksums.sha256,artifacts/handoffs/phase_03_to_phase_04/checksums.sha256,1021,f2e8056c8be3c361841ae647db215fe39fcb5459117c320ad9cb56bdc2452e2e,COPIED_BYTE_IDENTICAL
artifacts/handoffs/phase_03_to_phase_04/p03_handoff_manifest.json,artifacts/handoffs/phase_03_to_phase_04/p03_handoff_manifest.json,7119,dacec8269c6b127499d0fdc3b565be8d2b2bb96f97430839eb09b181018f1bae,COPIED_BYTE_IDENTICAL
artifacts/implementation_amendments/phase_03/P03-C8-STAGE16-4WORKER-PARALLEL-AUDIT-RECOVERY-R5/parallel_audit_recovery_receipt.json,artifacts/implementation_amendments/phase_03/P03-C8-STAGE16-4WORKER-PARALLEL-AUDIT-RECOVERY-R5/parallel_audit_recovery_receipt.json,2230,ef4c2c9f6128c73266464262c4d8a76ae814a65b468ab6c64d675f236118b10f,COPIED_BYTE_IDENTICAL
artifacts/implementation_amendments/phase_03/P03-C8-STAGE16-A3-PRODUCT-LINEAGE-HARDENING-R1/installer_manifest.json,artifacts/implementation_amendments/phase_03/P03-C8-STAGE16-A3-PRODUCT-LINEAGE-HARDENING-R1/installer_manifest.json,1289,6a83aac10a4b4534e805180b771b9e0d5411ebca8e89976c46f95e59d750ae2b,COPIED_BYTE_IDENTICAL
artifacts/implementation_amendments/phase_03/P03-C8-STAGE16-A3-PRODUCT-LINEAGE-HARDENING-R2/installer_manifest.json,artifacts/implementation_amendments/phase_03/P03-C8-STAGE16-A3-PRODUCT-LINEAGE-HARDENING-R2/installer_manifest.json,1437,4df7c8d19b3e1d01d4c449a6c3160de84774bac1ba92b4de67f28ffbeb7583fb,COPIED_BYTE_IDENTICAL
artifacts/implementation_amendments/phase_03/P03-C8-STAGE17-THRESHOLDREGISTRY-EVIDENCE-HARDENING-R1/installer_manifest.json,artifacts/implementation_amendments/phase_03/P03-C8-STAGE17-THRESHOLDREGISTRY-EVIDENCE-HARDENING-R1/installer_manifest.json,2630,0166956e7e44d0dc2e02ff5f22be612d349138e00b2c82917f89b83950e8ebbf,COPIED_BYTE_IDENTICAL
artifacts/implementation_amendments/phase_03/P03-C8-STAGE18-MATCHED-OPERATING-POINT-EVIDENCE-HARDENING-R2/installer_manifest.json,artifacts/implementation_amendments/phase_03/P03-C8-STAGE18-MATCHED-OPERATING-POINT-EVIDENCE-HARDENING-R2/installer_manifest.json,1984,cb7395d0087d76590df26b20f8ed17e4405db295eb6a518e14b75e65a3b6f43e,COPIED_BYTE_IDENTICAL
artifacts/implementation_amendments/phase_03/P03-C8-STAGE19-GROUPBUDGET-EVIDENCE-HARDENING-R1/installer_manifest.json,artifacts/implementation_amendments/phase_03/P03-C8-STAGE19-GROUPBUDGET-EVIDENCE-HARDENING-R1/installer_manifest.json,2661,ca9182583f4ab1907c97600ce853dd649c2de0df54d8dae39c79b23816352d0e,COPIED_BYTE_IDENTICAL
artifacts/implementation_amendments/phase_03/P03-C8-STAGE20-NEGATIVE-EVIDENCE-HARDENING-R1/installer_manifest.json,artifacts/implementation_amendments/phase_03/P03-C8-STAGE20-NEGATIVE-EVIDENCE-HARDENING-R1/installer_manifest.json,3250,eee1cb3b7a2c67f8b246b186bde1a68bcd48ad744225d5e58c5b1fe29ac8a3cf,COPIED_BYTE_IDENTICAL
artifacts/implementation_amendments/phase_03/P03-C8-STAGE21-DOCUMENTARY-HANDOFF-EVIDENCE-HARDENING-R2/installer_manifest.json,artifacts/implementation_amendments/phase_03/P03-C8-STAGE21-DOCUMENTARY-HANDOFF-EVIDENCE-HARDENING-R2/installer_manifest.json,2269,4b255a6eec0c15b07de20e513573cdcaa44b4072df6cfd9b696e2c26fd362de7,COPIED_BYTE_IDENTICAL
artifacts/implementation_amendments/phase_03/P03-C8-STAGE22-HANDOFF-CANONICALIZATION-HARDENING-R1/installer_manifest.json,artifacts/implementation_amendments/phase_03/P03-C8-STAGE22-HANDOFF-CANONICALIZATION-HARDENING-R1/installer_manifest.json,2129,a5c41314ca17a45b26161352720a668a5aad1f79448b9b25d7ddc3345c27ed31,COPIED_BYTE_IDENTICAL
artifacts/implementation_amendments/phase_03/P03-C8-STAGE23-SUFFICIENCY-PARITY-EVIDENCE-HARDENING-R2/installer_manifest.json,artifacts/implementation_amendments/phase_03/P03-C8-STAGE23-SUFFICIENCY-PARITY-EVIDENCE-HARDENING-R2/installer_manifest.json,4361,8ed8fa513a857727a8308f8b1d6acb57a31fd9c3ad03fd6c223953756a450dde,COPIED_BYTE_IDENTICAL
artifacts/implementation_amendments/phase_03/P03-C8-STAGE24-FINAL-EXPORT-CHECKSUM-SECRET-SCAN-HARDENING-R2/installer_manifest.json,artifacts/implementation_amendments/phase_03/P03-C8-STAGE24-FINAL-EXPORT-CHECKSUM-SECRET-SCAN-HARDENING-R2/installer_manifest.json,2666,597e921b5505f86d97a83c241efabf3fc78ae811c9222e6775b13a1282eb9d86,COPIED_BYTE_IDENTICAL
artifacts/implementation_amendments/phase_03/P03-C8-STAGE24-FINAL-EXPORT-CHECKSUM-SECRET-SCAN-HARDENING-R3/installer_manifest.json,artifacts/implementation_amendments/phase_03/P03-C8-STAGE24-FINAL-EXPORT-CHECKSUM-SECRET-SCAN-HARDENING-R3/installer_manifest.json,2841,b50662a49cb6f901b386ebea460f8bf795491455396ada83cc6fd7bf8f3c9c03,COPIED_BYTE_IDENTICAL
artifacts/implementation_amendments/phase_03/P03-L3-EXEC-TRANSPORT-AMEND-NO-RULE-SPAWN-R2/checksums.sha256,artifacts/implementation_amendments/phase_03/P03-L3-EXEC-TRANSPORT-AMEND-NO-RULE-SPAWN-R2/checksums.sha256,315,dba5c6e109753507ba0ef7c1c86bef9693a1521dd8b105fe0fb1af745df772cc,COPIED_BYTE_IDENTICAL
artifacts/implementation_amendments/phase_03/P03-L3-EXEC-TRANSPORT-AMEND-NO-RULE-SPAWN-R2/iharq_p03_l3_norule_runtime_amendment_r1.py,artifacts/implementation_amendments/phase_03/P03-L3-EXEC-TRANSPORT-AMEND-NO-RULE-SPAWN-R2/iharq_p03_l3_norule_runtime_amendment_r1.py,49505,4b4aa2d0fd0d648c1a852c80465a5aa823a4464daf276ec2c4d7c4301694e01c,COPIED_BYTE_IDENTICAL
artifacts/implementation_amendments/phase_03/P03-L3-EXEC-TRANSPORT-AMEND-NO-RULE-SPAWN-R2/iharq_p03_l3_norule_spawn_bridge_r2.py,artifacts/implementation_amendments/phase_03/P03-L3-EXEC-TRANSPORT-AMEND-NO-RULE-SPAWN-R2/iharq_p03_l3_norule_spawn_bridge_r2.py,2328,812f376247b95c9451800ac054a978584b38089afbf2b87267b9f570387fe849,COPIED_BYTE_IDENTICAL
artifacts/implementation_amendments/phase_03/P03-L3-EXEC-TRANSPORT-AMEND-NO-RULE-SPAWN-R2/transport_amendment_manifest.json,artifacts/implementation_amendments/phase_03/P03-L3-EXEC-TRANSPORT-AMEND-NO-RULE-SPAWN-R2/transport_amendment_manifest.json,7580,a258d937a54fff90818bbba7880f88e9cf24b77df7860520f7011fca5a48e949,COPIED_BYTE_IDENTICAL
artifacts/implementation_amendments/phase_03/P03-L3-IMPL-AMEND-NO-RULE-R1/amendment_manifest.json,artifacts/implementation_amendments/phase_03/P03-L3-IMPL-AMEND-NO-RULE-R1/amendment_manifest.json,4212,527bc4f43bb5aa8a61ecc12e900a849abced3b4b48a336cf2b20eacc16b61149,COPIED_BYTE_IDENTICAL
artifacts/implementation_amendments/phase_03/P03-L3-IMPL-AMEND-NO-RULE-R1/checksums.sha256,artifacts/implementation_amendments/phase_03/P03-L3-IMPL-AMEND-NO-RULE-R1/checksums.sha256,175,8fece3a4b77eec0c3c4e1562ee038226b48484536a345ccd6fc6214e78c5687d,COPIED_BYTE_IDENTICAL
