path,old_bytes,old_sha256,new_bytes,new_sha256,source
current/phase_02/kaggle_run_light/gate_results/G24.json,256,93d276db3ea7f6863a39d4eb178551c226d8cbf2dfc3486df16496a54440e44b,159,3df6786901f286065bed47d14f0d198389cde569c63512468cedc175d9f8e128,P02_EXTENSION_DELTA_OVERLAY
current/phase_02/kaggle_run_light/runtime/analysis_inputs/a0_completion.json,1029,2e925e6e5fa223a518777f8b9cfa565b897c89ea9cfcdc2ae9bc54c32df1eb7e,1029,7e755d206bd5ab5df48180320ffe4b4bedbc35d39476c1c68bcda346b76fe9c9,P02_EXTENSION_DELTA_OVERLAY
current/phase_02/kaggle_run_light/runtime/analysis_inputs/a0_participant_metrics.csv,732426,6497ec474de6ba4750377af268ae79b0c13f25813006aa687505d3ee3d82fccd,880760,8e317c651fc9178184d52220383468a350ac36bd601dab90542ef61dedd3d876,P02_EXTENSION_DELTA_OVERLAY
current/phase_02/kaggle_run_light/runtime/analysis_inputs/a4_burden_source.csv,301185,c56dc18edc73e0b606fd2f806fe39e40433b7fa30d1a95729f7ae7184f102406,434322,45885b42c32989d85d0ae521d54c628c29c6a1d28a8e3a925264f4cc001adf62,P02_EXTENSION_DELTA_OVERLAY
current/phase_02/kaggle_run_light/runtime/analysis_inputs/a4_c4_c5_common_support.jsonl,90030,04f53110af22842791f1e70f6802de9e2e6de693e5205117f2c3436a9b3749ec,135585,a99a782cca6a67227ceb56210a9f243dc464a6de38412d5e7634543753559e7a,P02_EXTENSION_DELTA_OVERLAY
current/phase_02/kaggle_run_light/runtime/analysis_inputs/a4_c4_c5_comparison_artifacts.jsonl,448075,82337c19356ea1cd57ac9f43d84bcac7583f640ff709b537212ea12153654c7d,654465,77fbf9b2e33078d5af59b3c153bfff57e213b42934a3bc582c47e602862aba90,P02_EXTENSION_DELTA_OVERLAY
current/phase_02/kaggle_run_light/runtime/analysis_inputs/a4_c4_c5_participant_comparisons.csv,201170,0559b86009e53f7e859634edf065516c0344e9b7471a54a9c3d954b5e2db40e9,307971,4ef3888b87347c1cceb03fcafec5e71949f136de8959d9521c9115be01cadfc1,P02_EXTENSION_DELTA_OVERLAY
current/phase_02/kaggle_run_light/runtime/analysis_inputs/a4_c4_c5_statistics.json,379930,d713c65a0d90a4628e763ac8e1f47c2706868bb9ce61813a32fd0e46d0c35f18,560839,8d1cc28fc74b0152c3c56311d960fbf13b005b5fc0c8619fdf091e09cbc629d9,P02_EXTENSION_DELTA_OVERLAY
current/phase_02/kaggle_run_light/runtime/analysis_inputs/a4_completion.json,1245,0489a31df63523e5df1264fd2c1cf1738b6978ca4bc91fada20fab26a0cfcb90,536,3aedb1f16c62f8c1b376143e88774e9e13978789abe8fd353902411cc4a87f52,P02_EXTENSION_DELTA_OVERLAY
current/phase_02/kaggle_run_light/runtime/analysis_inputs/a4_participant_metrics.csv,847399,be0b5814900ead978ec6393e62bf06c22446cf9ce26747d6c15a46f28163b51c,1230263,282be80c37df564b70d29370b72700fceb7dc00b3b8773c75c054b314a20cecc,P02_EXTENSION_DELTA_OVERLAY
current/phase_02/kaggle_run_light/runtime/analysis_inputs/a4_role_control_common_support.jsonl,35739,0e01a7ade91e1de95fa27402273c18d911d4e1c8017f4d55bbd491ba90e7767a,48096,a0721f4f061ec7223c2db98bb4b4b348d8b6dc0723f9169dece405fabb7bd35d,P02_EXTENSION_DELTA_OVERLAY
current/phase_02/kaggle_run_light/runtime/analysis_inputs/a4_role_control_participant_comparisons.csv,180508,75cc212bc1f971e3b52a84181b9760708da03051d647fd8f8e6ef17b0420583d,246309,873739add7adc181f5e1292a2b09869bec83ce5b8c9b478251c0f558d7320106,P02_EXTENSION_DELTA_OVERLAY
current/phase_02/kaggle_run_light/runtime/analysis_inputs/a4_role_control_statistics.json,613986,2a2ea0c4f0b8c0d98caaec28544907de07112b74ea6c5e22874b02012b046688,873452,c485cd1163bac42e70a5440d6a7b1def8c8aff6be6cde8eb3d7a44803cbd5593,P02_EXTENSION_DELTA_OVERLAY
current/phase_02/kaggle_run_light/runtime/analysis_inputs/failure_negative_summary.json,186,678b0675cc24a5ab264523909f1b25b23a545f7a7e5aaa4c93e0bac1d65850ae,186,74912d61f4aac0310e0d660063a0a70299de52cb730afc566061ce8e18fa928a,P02_EXTENSION_DELTA_OVERLAY
current/phase_02/kaggle_run_light/runtime/analysis_inputs/low_label_metric_source.csv,28686,0123b1513da263b8c468024a1d28532d1fbc52e5faffb2bdc00e285b5213f901,101824,afdef104dec5c8edcede8ccb222c9b257f665b3f60e1261b994deda43cb087a4,P02_EXTENSION_DELTA_OVERLAY
